Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,49.360001,50.43,49.044998,50.035,47.726425,1227600
2014/6/3,50.049999,50.490002,49.75,49.945,47.640572,1636600
2014/6/4,49.869999,49.985001,49.459999,49.615002,47.325798,1901000
2014/6/5,49.945,50.355,49.279999,49.450001,47.168411,1707600
2014/6/6,49.674999,49.959999,49.375,49.955002,47.650124,1617200
2014/6/9,50,50.035,49.32,49.505001,47.220879,1534800
2014/6/10,49.48,49.669998,48.869999,49.369999,47.09211,1119400
2014/6/11,48.849998,48.919998,48.25,48.419998,46.185947,1688000
2014/6/12,47.845001,47.895,46.125,46.485001,44.340221,3068000
2014/6/13,46.525002,47.825001,46.525002,47.57,45.375153,1778400
2014/6/16,47.145,47.474998,46.43,46.705002,44.550076,1756000
2014/6/17,46.799999,47.709999,46.77,47.470001,45.27977,1246800
2014/6/18,47.615002,47.700001,47.09,47.580002,45.384693,1153200
2014/6/19,47.685001,47.959999,46.919998,47.439999,45.251156,1220400
2014/6/20,47.700001,47.849998,47.355,47.509998,45.317917,1365200
2014/6/23,47.445,47.724998,46.32,46.91,44.745605,1390200
2014/6/24,46.73,47.564999,46.645,46.794998,44.63591,1631800
2014/6/25,46.764999,47.674999,46.450001,47.650002,45.451462,1306200
2014/6/26,47.639999,47.639999,47.130001,47.27,45.089001,1239800
2014/6/27,47.209999,47.709999,46.900002,47.689999,45.489624,2326400
2014/6/30,47.695,48.075001,47.310001,47.525002,45.332237,1709000
2014/7/1,47.625,48.904999,47.625,48.790001,46.538868,1718400
2014/7/2,48.215,48.215,47.25,47.904999,45.694702,1709200
2014/7/3,48.005001,48.720001,47.955002,48.400002,46.166855,675200
2014/7/7,48.43,48.705002,47.209999,47.325001,45.141464,1416600
2014/7/8,46.615002,48.560001,46.055,48.395,46.162098,2644400
2014/7/9,48.994999,49.450001,48.02,48.43,46.19548,2292000
2014/7/10,48.150002,49.09,46.889999,49.009998,46.748714,1597000
2014/7/11,49.130001,49.779999,49.009998,49.34,47.063488,1260500
2014/7/14,49.799999,49.990002,49.34,49.75,47.454575,841800
2014/7/15,49.75,49.919998,48.990002,49.779999,47.483185,1118100
2014/7/16,50.029999,50.139999,49.310001,49.439999,47.158882,1041400
2014/7/17,49.27,49.720001,48.099998,48.16,45.937946,1221800
2014/7/18,48.150002,49.099998,48.150002,48.73,46.481636,901500
2014/7/21,48.610001,48.610001,48.139999,48.349998,46.119171,964100
2014/7/22,48.779999,48.93,48.349998,48.869999,46.615177,977500
2014/7/23,49.189999,49.91,48.959999,49.689999,47.397343,1643400
2014/7/24,49.700001,49.91,44.529999,45.029999,42.952343,4454300
2014/7/25,45.810001,46.880001,45.169998,45.77,43.658215,3343700
2014/7/28,46.32,46.32,45.380001,45.68,43.572361,1889400
2014/7/29,45.98,46.790001,45.68,46.18,44.049294,2819200
2014/7/30,46.040001,46.630001,44.439999,44.900002,42.828354,2556400
2014/7/31,44.5,44.77,43.880001,43.970001,41.941257,1870400
2014/8/1,43.66,44.549999,43.400002,44.450001,42.399124,1667500
2014/8/4,44.459999,44.82,43.349998,43.5,41.492947,1402000
2014/8/5,43.48,43.970001,42.599998,42.720001,40.748932,2185300
2014/8/6,42.700001,43.259998,42.119999,42.939999,40.958782,1372200
2014/8/7,42.959999,43.34,42.34,42.759998,40.787086,1482100
2014/8/8,42.709999,43.27,41.84,43.209999,41.216324,1315200
2014/8/11,43.560001,44.200001,43.279999,43.880001,41.8554,1023900
2014/8/12,43.880001,44.189999,43.439999,43.669998,41.655094,955800
2014/8/13,43.799999,44.91,43.59,44.669998,42.608952,1025700
2014/8/14,44.84,45.27,44.389999,45.200001,43.11451,1338000
2014/8/15,45.439999,45.669998,44.970001,45.459999,43.482761,1184100
2014/8/18,45.84,47.080002,45.77,47.009998,44.965355,1480200
2014/8/19,47.18,47.189999,46.360001,46.799999,44.764477,931200
2014/8/20,46.82,47.360001,46.740002,47.139999,45.089691,1042200
2014/8/21,47.23,47.290001,46,46.029999,44.027962,1214800
2014/8/22,46.150002,46.740002,45.869999,46.490002,44.467964,1015600
2014/8/25,46.990002,47.09,46.200001,46.889999,44.850563,756600
2014/8/26,46.959999,47.119999,46.23,46.279999,44.267101,774400
2014/8/27,46.41,46.66,46.02,46.5,44.477524,575600
2014/8/28,46.209999,46.939999,46.029999,46.529999,44.506233,695900
2014/8/29,46.720001,46.790001,46.119999,46.34,44.324486,577800
2014/9/2,46.34,48.25,46.32,48.240002,46.141846,1610300
2014/9/3,48.049999,48.049999,47.110001,47.540001,45.472294,1023100
2014/9/4,47.68,48.209999,47.490002,47.630001,45.558376,1016000
2014/9/5,47.02,47.220001,46.330002,47.139999,45.089691,905700
2014/9/8,47.27,47.549999,47.060001,47.330002,45.271439,888400
2014/9/9,47.080002,47.59,46.540001,46.599998,44.573174,825100
2014/9/10,46.810001,47.700001,46.41,47.490002,45.424473,811600
2014/9/11,47.549999,47.849998,46.970001,47.360001,45.300117,769400
2014/9/12,47.43,47.639999,47.009998,47.27,45.214039,987200
2014/9/15,47.279999,47.310001,46.209999,46.259998,44.247955,894600
2014/9/16,46.220001,47.080002,45.700001,46.75,44.716652,1335500
2014/9/17,46.799999,47.150002,45.869999,46.16,44.152317,833900
2014/9/18,46.360001,46.880001,46.16,46.84,44.802742,642400
2014/9/19,46.860001,46.990002,46.18,46.220001,44.209705,1466400
2014/9/22,46.25,46.310001,45.18,45.209999,43.243633,1031600
2014/9/23,44.84,45.16,44.080002,44.099998,42.181911,1188100
2014/9/24,44.139999,45.049999,43.919998,44.84,42.889725,872800
2014/9/25,44.57,44.73,43.709999,43.720001,41.818439,947400
2014/9/26,43.82,44.540001,43.599998,44.419998,42.487991,970400
2014/9/29,43.790001,44.32,43.549999,43.849998,41.942787,1067000
2014/9/30,43.830002,44.080002,43.189999,43.540001,41.646271,1353200
2014/10/1,43.139999,43.169998,42.209999,42.740002,40.881062,1695600
2014/10/2,42.880001,43.540001,42.080002,42.919998,41.05323,997100
2014/10/3,43.509998,44.34,43.32,44.150002,42.229736,975700
2014/10/6,44.48,44.599998,43.470001,43.490002,41.598454,671900
2014/10/7,43.150002,43.650002,42.639999,42.799999,40.938454,1554400
2014/10/8,42.799999,43.049999,41.009998,42.860001,40.99585,2582800
2014/10/9,43.25,43.950001,42.529999,42.68,40.823677,2433900
2014/10/10,42.57,43.41,42.25,42.459999,40.613239,1956400
2014/10/13,42.360001,43.139999,41.52,41.580002,39.771519,2459600
2014/10/14,42.02,43.23,41.830002,42.689999,40.833233,2024300
2014/10/15,41.779999,43.130001,40.689999,41.990002,40.163685,3095900
2014/10/16,41.490002,43.990002,41.029999,43.799999,41.894958,2136100
2014/10/17,44.509998,45.040001,44.279999,44.700001,42.755817,1553300
2014/10/20,44.700001,46.23,44.529999,46.220001,44.209705,1941300
2014/10/21,46.889999,48.130001,46.889999,47.380001,45.31926,1845900
2014/10/22,47.639999,47.84,46.689999,46.77,44.73579,1727700
2014/10/23,48.27,50.41,48.119999,49.950001,47.777477,3616400
2014/10/24,49.209999,50.259998,48.950001,50.200001,48.016594,1909800
2014/10/27,50.310001,51.919998,50.099998,51.82,49.566139,2342300
2014/10/28,52.060001,53.080002,51.599998,52.790001,50.49395,2152800
2014/10/29,52.73,53.040001,51.720001,52.91,50.608727,1559300
2014/10/30,51.959999,52.619999,51.59,52.139999,49.872223,1598700
2014/10/31,53.200001,53.799999,52.82,53.23,50.914814,1501000
2014/11/3,53.220001,54.48,53.110001,54.43,52.062626,1825400
2014/11/4,54.740002,55.919998,54.68,55.389999,52.980865,1492100
2014/11/5,55.970001,55.990002,53.860001,53.970001,51.622627,1883000
2014/11/6,54.650002,55.75,54.439999,55.400002,52.99044,1219000
2014/11/7,55.400002,55.959999,54.900002,55.139999,52.74173,1175300
2014/11/10,55.049999,56.400002,54.709999,56.32,53.870419,1028400
