Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,15.95,16.530001,15.87,16.32,13.94075,475500
2014/6/3,16.209999,16.209999,16.059999,16.129999,13.778451,318800
2014/6/4,16.17,16.370001,16.15,16.299999,13.923667,109600
2014/6/5,16.290001,16.370001,16.23,16.370001,13.983462,146100
2014/6/6,16.370001,16.6,16.370001,16.52,14.111594,186100
2014/6/9,16.49,16.780001,16.42,16.74,14.299521,151800
2014/6/10,16.620001,16.950001,16.52,16.67,14.239725,139000
2014/6/11,16.620001,16.629999,16.52,16.559999,14.145761,47200
2014/6/12,16.52,16.639999,16.469999,16.49,14.085967,109900
2014/6/13,16.530001,16.68,16.02,16.120001,13.769911,271600
2014/6/16,16.17,16.17,15.91,15.93,13.607609,124000
2014/6/17,15.85,16.120001,15.84,16.07,13.727199,89000
2014/6/18,16.129999,16.469999,16.01,16.370001,13.983462,108500
2014/6/19,16.33,16.82,16.33,16.76,14.316606,236700
2014/6/20,16.6,16.790001,16.459999,16.52,14.111594,70700
2014/6/23,16.52,16.559999,16.23,16.290001,13.915127,166700
2014/6/24,16.35,16.440001,16.209999,16.26,13.889499,473800
2014/6/25,16.26,16.4,16.25,16.32,13.94075,83600
2014/6/26,16.24,16.379999,16.219999,16.309999,13.932209,91100
2014/6/27,16.290001,16.360001,16.200001,16.25,13.880956,57700
2014/6/30,16.280001,16.32,15.96,16.049999,13.710113,60400
2014/7/1,16,16.219999,16,16.15,13.795534,270200
2014/7/2,16.16,16.969999,15.99,16.26,13.889499,486600
2014/7/3,16.25,16.540001,16.23,16.5,14.09451,61200
2014/7/7,16.75,16.780001,16.41,16.51,14.103052,68600
2014/7/8,16.42,16.42,16.129999,16.25,13.880956,126600
2014/7/9,16.290001,16.299999,16.120001,16.16,13.804077,66400
2014/7/10,16.01,16.370001,16.01,16.200001,13.838245,82200
2014/7/11,16.1,16.559999,16.1,16.5,14.09451,86200
2014/7/14,16.66,16.75,16.309999,16.379999,13.992004,122900
2014/7/15,16.43,16.75,16.360001,16.709999,14.273893,77800
2014/7/16,16.85,16.85,16.48,16.620001,14.197016,104700
2014/7/17,16.629999,16.68,16.35,16.450001,14.051801,39700
2014/7/18,16.41,16.719999,16.32,16.440001,14.043258,95700
2014/7/21,16.209999,16.4,16.049999,16.23,13.863873,147000
2014/7/22,16.24,16.51,16.24,16.370001,13.983462,93100
2014/7/23,16.35,16.5,16.35,16.469999,14.068883,49200
2014/7/24,16.450001,16.549999,16.33,16.450001,14.051801,46800
2014/7/25,16.459999,16.68,16.450001,16.66,14.231183,52200
2014/7/28,16.67,16.719999,16.559999,16.59,14.171389,32600
2014/7/29,16.59,16.59,16.43,16.51,14.103052,43900
2014/7/30,16.540001,16.540001,16.01,16.309999,13.932209,90700
2014/7/31,16.200001,16.309999,15.97,16.24,13.872415,146500
2014/8/1,16.27,16.379999,16.120001,16.290001,13.915127,85300
2014/8/4,16.299999,16.299999,16.1,16.139999,13.786992,58800
2014/8/5,16.059999,16.280001,16.01,16.23,13.863873,40900
2014/8/6,16.209999,16.440001,16.139999,16.26,13.889499,175300
2014/8/7,16.280001,16.280001,15.51,15.57,13.300093,132100
2014/8/8,15.75,16.139999,15.62,16.1,13.752825,135000
2014/8/11,16.09,16.450001,16.09,16.299999,13.923667,74400
2014/8/12,16.219999,16.41,16.219999,16.389999,14.000546,31400
2014/8/13,16.360001,16.440001,16.17,16.41,14.017631,43300
2014/8/14,16.42,16.450001,15.8,15.85,13.539271,246500
2014/8/15,15.9,16.32,15.9,16,13.667403,303600
2014/8/18,16.049999,16.5,16.049999,16.35,13.966379,146000
2014/8/19,16.34,16.41,16.24,16.299999,13.923667,168200
2014/8/20,16.33,16.33,16.02,16.139999,13.786992,125100
2014/8/21,16.16,16.200001,16,16.07,13.727199,170100
2014/8/22,16.049999,16.25,16,16.08,13.73574,36200
2014/8/25,16.059999,16.120001,15.85,15.99,13.658862,57600
2014/8/26,15.94,16.02,15.85,15.94,13.616151,33500
2014/8/27,15.87,16.1,15.87,15.98,13.650318,35900
2014/8/28,15.98,16.32,15.94,16.32,13.94075,168700
2014/8/29,16.32,16.35,16.120001,16.16,13.804077,273200
2014/9/2,16.23,16.360001,16.030001,16.200001,13.838245,177900
2014/9/3,16.16,16.26,16.09,16.120001,13.769911,197400
2014/9/4,16.110001,16.23,15.94,16.059999,13.718657,135800
2014/9/5,16.01,16.1,15.94,16,13.667403,60000
2014/9/8,15.93,16.08,15.9,15.93,13.607609,48400
2014/9/9,15.85,15.88,15.56,15.63,13.351344,111800
2014/9/10,15.56,15.92,15.51,15.89,13.573442,213000
2014/9/11,15.87,15.87,15.59,15.81,13.505103,86800
2014/9/12,15.74,15.77,15.34,15.57,13.300093,93300
2014/9/15,15.54,15.64,15.32,15.48,13.223213,87400
2014/9/16,15.48,15.83,15.34,15.67,13.385514,123700
2014/9/17,15.67,15.75,15.51,15.65,13.368428,99600
2014/9/18,15.6,15.82,15.54,15.58,13.308634,87200
2014/9/19,15.55,15.8,15.55,15.77,13.470936,161900
2014/9/22,15.77,15.77,15.27,15.31,13.077998,95500
2014/9/23,15.25,15.5,14.74,14.79,12.633806,384200
2014/9/24,14.85,14.88,14.24,14.39,12.292122,542600
2014/9/25,14.26,14.31,13.89,14.05,12.00169,966400
2014/9/26,14.04,14.14,13.89,13.99,11.950436,349000
2014/9/29,13.91,13.91,13.55,13.58,11.600208,317700
2014/9/30,13.56,13.84,13.56,13.72,11.719799,167400
2014/10/1,13.71,13.71,13.43,13.52,11.548956,978600
2014/10/2,13.5,13.68,13.4,13.58,11.600208,93700
2014/10/3,13.53,14.02,13.53,13.92,11.89064,90800
2014/10/6,14,14.5,13.98,14.38,12.283578,178900
2014/10/7,14.4,14.53,13.77,13.81,11.796678,182300
2014/10/8,13.87,13.91,13.45,13.65,11.660005,162700
2014/10/9,13.6,13.71,13.53,13.56,11.583124,68200
2014/10/10,13.6,13.81,13.35,13.58,11.600208,280900
2014/10/13,13.64,13.77,13.33,13.55,11.574584,145800
2014/10/14,13.69,13.84,13.42,13.55,11.574584,153100
2014/10/15,13.52,13.52,13.08,13.46,11.497703,81900
2014/10/16,13.37,13.52,13.27,13.36,11.412281,42600
2014/10/17,13.42,13.55,13.32,13.39,11.437908,183500
2014/10/20,13.32,13.72,13.3,13.63,11.64292,55100
2014/10/21,13.69,14.12,13.69,14.1,12.044399,111800
2014/10/22,14.09,14.28,14.05,14.16,12.095653,343100
2014/10/23,14.29,14.4,14.2,14.2,12.129821,96200
2014/10/24,14.21,14.32,14.15,14.28,12.198157,49700
2014/10/27,14.29,14.61,14.18,14.61,12.480048,164600
2014/10/28,14.63,14.83,14.53,14.68,12.539843,168200
2014/10/29,14.71,14.83,14.57,14.69,12.548384,101600
2014/10/30,14.71,14.84,14.58,14.68,12.539843,320000
2014/10/31,14.65,14.94,14.52,14.89,12.719229,126300
2014/11/3,14.87,14.87,14.41,14.54,12.420253,59600
2014/11/4,14.59,14.9,14.5,14.8,12.642348,178300
2014/11/5,14.88,14.88,14.4,14.41,12.309205,53400
2014/11/6,14.47,14.48,14.21,14.23,12.155446,39200
2014/11/7,14.23,14.36,14.15,14.29,12.2067,59500
2014/11/10,14.3,14.41,14.21,14.26,12.181074,37400
2014/11/11,14.28,14.29,14.11,14.16,12.095653,31900
2014/11/12,14.17,14.17,14.01,14.03,11.984603,33700
2014/11/13,14.07,14.09,13.61,13.85,11.830847,93200
2014/11/14,13.75,13.94,13.73,13.89,11.865016,58300
2014/11/17,13.91,14.11,13.74,13.91,11.882097,49100
2014/11/18,13.86,13.99,13.59,13.71,11.711256,80500
