Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,15.25,15.31,15.24,15.31,14.879869,7000
2014/6/3,15.23,15.36,15.23,15.33,14.899306,5700
2014/6/4,15.19,15.28,15.17,15.22,14.792397,4100
2014/6/5,15.39,15.45,15.35,15.4,14.96734,6100
2014/6/6,15.45,15.45,15.36,15.36,14.928463,5500
2014/6/9,15.43,15.57,15.43,15.56,15.122845,5700
2014/6/10,16.15,16.25,16.15,16.219999,15.764301,19200
2014/6/11,16.360001,16.459999,16.33,16.459999,15.997559,17000
2014/6/12,16.440001,16.450001,16.290001,16.309999,15.851772,16800
2014/6/13,16.370001,16.370001,16.290001,16.290001,15.832335,9100
2014/6/16,16.040001,16.049999,15.93,16.040001,15.58936,10400
2014/6/17,15.77,15.77,15.66,15.7,15.258911,16600
2014/6/18,15.64,15.67,15.53,15.63,15.190878,33800
2014/6/19,15.64,15.65,15.54,15.65,15.210316,11000
2014/6/20,15.59,15.64,15.2,15.2,14.772959,51300
2014/6/23,15.46,15.48,15.32,15.41,14.977058,17600
2014/6/24,15.4,15.48,15.37,15.46,15.025654,20900
2014/6/25,15.49,15.59,15.49,15.55,15.113126,3300
2014/6/26,15.56,15.66,15.56,15.6,15.16172,23100
2014/6/27,15.48,15.48,15.25,15.41,14.977058,21000
2014/6/30,15.46,15.48,15.24,15.28,14.85071,16700
2014/7/1,15.4,15.43,15.25,15.27,14.840992,15900
2014/7/2,15.4,15.5,15.27,15.32,14.889586,19700
2014/7/3,15.82,15.82,15.53,15.6,15.16172,29900
2014/7/7,16.120001,16.139999,15.99,16.040001,15.58936,24700
2014/7/8,16.08,16.1,15.84,15.9,15.453292,26400
2014/7/9,16.030001,16.030001,15.93,16.01,15.560202,29100
2014/7/10,15.71,15.78,15.68,15.76,15.317225,19400
2014/7/11,16,16.049999,15.93,15.93,15.48245,17400
2014/7/14,16.02,16.059999,15.97,16.01,15.560202,36700
2014/7/15,15.8,15.81,15.71,15.75,15.307507,18000
2014/7/16,15.85,15.91,15.83,15.85,15.404697,19000
2014/7/17,15.68,15.74,15.5,15.5,15.06453,20700
2014/7/18,15.42,15.53,15.35,15.46,15.025654,9100
2014/7/21,15.33,15.34,15.22,15.29,14.86043,24300
2014/7/22,15.47,15.47,15.39,15.41,14.977058,18400
2014/7/23,15.53,15.53,15.36,15.38,14.947902,32000
2014/7/24,15.53,15.61,15.35,15.42,14.986777,72800
2014/7/25,15.78,15.8,15.71,15.72,15.27835,34800
2014/7/28,16.049999,16.129999,16.01,16.059999,15.608797,47000
2014/7/29,16.07,16.09,15.7,15.76,15.317225,43400
2014/7/30,15.84,15.84,15.53,15.59,15.152001,36700
2014/7/31,15.75,15.79,15.57,15.57,15.132564,23700
2014/8/1,15.91,15.97,15.76,15.78,15.336663,19300
2014/8/4,16.5,16.559999,16.440001,16.51,16.046154,43800
2014/8/5,16.48,16.5,16.309999,16.4,15.939244,27100
2014/8/6,16.610001,16.67,16.57,16.6,16.133625,21600
2014/8/7,16.389999,16.389999,16.139999,16.209999,15.754582,17700
2014/8/8,16.209999,16.27,16.16,16.24,15.78374,17000
2014/8/11,16.719999,16.77,16.68,16.77,16.298851,15800
2014/8/12,16.700001,16.709999,16.620001,16.68,16.211378,6200
2014/8/13,17.24,17.280001,17.1,17.110001,16.629299,22700
2014/8/14,17,17.040001,16.879999,16.99,16.512669,24900
2014/8/15,16.99,17.01,16.809999,16.92,16.444635,10000
2014/8/18,17.030001,17.059999,16.969999,17.01,16.532106,10700
2014/8/19,17,17.01,16.879999,16.879999,16.405758,19400
2014/8/20,16.84,16.9,16.799999,16.85,16.376602,12400
2014/8/21,16.9,16.959999,16.790001,16.790001,16.318289,8600
2014/8/22,16.799999,16.799999,16.700001,16.700001,16.230818,8600
2014/8/25,17.43,17.450001,17.379999,17.42,16.930588,26900
2014/8/26,17.280001,17.280001,17.139999,17.16,16.677893,10300
2014/8/27,16.9,16.969999,16.84,16.860001,16.38632,10700
2014/8/28,16.780001,16.780001,16.629999,16.639999,16.172501,17200
2014/8/29,16.700001,16.700001,16.23,16.23,15.77402,10800
