Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,11.8,11.84,11.16,11.24,11.24,1183500
2014/6/3,11.24,11.48,11.06,11.14,11.14,1143500
2014/6/4,11.16,11.22,10.84,10.96,10.96,843000
2014/6/5,11.08,11.1,10.8,10.82,10.82,717500
2014/6/6,11.14,11.46,11.1,11.16,11.16,812500
2014/6/9,11.2,11.92,11.16,11.74,11.74,821500
2014/6/10,11.68,11.86,11.56,11.8,11.8,603500
2014/6/11,11.78,11.86,11.66,11.72,11.72,617500
2014/6/12,11.68,11.74,11.06,11.2,11.2,928000
2014/6/13,11.3,11.48,11.06,11.36,11.36,603500
2014/6/16,11.32,11.32,10.96,10.96,10.96,588500
2014/6/17,10.72,10.94,10.66,10.9,10.9,636500
2014/6/18,10.94,11.46,10.78,11.46,11.46,618000
2014/6/19,11.38,11.62,11.28,11.5,11.5,479500
2014/6/20,11.48,11.5,11.1,11.16,11.16,660500
2014/6/23,11.22,11.26,10.98,11.14,11.14,484000
2014/6/24,11.12,11.36,11.04,11.08,11.08,471000
2014/6/25,11.14,11.3,11.06,11.18,11.18,837000
2014/6/26,11.16,11.32,10.94,11.2,11.2,475500
2014/6/27,11.22,11.3,11.02,11.18,11.18,517500
2014/6/30,11.12,11.12,10.92,10.96,10.96,763000
2014/7/1,11.02,11.36,10.96,11.28,11.28,505000
2014/7/2,11.24,11.32,10.98,11,11,572000
2014/7/3,10.94,11.08,10.86,11.08,11.08,221000
2014/7/7,11.14,11.18,10.84,10.84,10.84,348500
2014/7/8,10.9,10.9,10.42,10.48,10.48,679500
2014/7/9,11.12,11.4,10.68,11.18,11.18,1168000
2014/7/10,10.9,11.74,10.84,11.74,11.74,903500
2014/7/11,11.62,12.3,11.62,12.28,12.28,1193000
2014/7/14,12.16,12.2,11.78,12.12,12.12,724000
2014/7/15,12.06,12.72,12,12.52,12.52,762000
2014/7/16,12.6,12.72,11.94,12,12,573500
2014/7/17,11.88,11.9,11.14,11.16,11.16,1224000
2014/7/18,11.66,11.74,11.16,11.6,11.6,1368500
2014/7/21,11.88,12.2,11.8,12.08,12.08,838500
2014/7/22,12.16,12.48,12.14,12.42,12.42,870500
2014/7/23,12.42,12.98,12.38,12.92,12.92,1180000
2014/7/24,13.02,13.28,12.96,13.12,13.12,1304500
2014/7/25,12.82,13.22,12.78,12.8,12.8,621000
2014/7/28,13.24,13.74,13.16,13.54,13.54,1201000
2014/7/29,13.16,13.16,12.8,12.92,12.92,1262000
2014/7/30,12.92,12.94,12.26,12.44,12.44,933500
2014/7/31,12.12,12.22,11.76,12.12,12.12,846500
2014/8/1,12.26,12.58,12,12.24,12.24,619500
2014/8/4,12.4,12.74,12.32,12.5,12.5,611000
2014/8/5,12.32,12.72,11.84,11.86,11.86,900000
2014/8/6,11.8,12.38,11.76,12.16,12.16,727000
2014/8/7,12.24,12.44,11.82,11.88,11.88,689500
2014/8/8,11.94,12.08,11.74,11.82,11.82,762500
2014/8/11,11.96,12.1,11.76,11.82,11.82,614000
2014/8/12,11.7,11.76,11.34,11.52,11.52,873500
2014/8/13,11.82,11.94,11.42,11.48,11.48,713000
2014/8/14,11.54,11.88,11.42,11.68,11.68,928000
2014/8/15,11.76,12.08,11.62,12.06,12.06,827000
2014/8/18,12.12,12.36,12.02,12.32,12.32,634500
2014/8/19,12.26,12.52,12.26,12.46,12.46,629500
2014/8/20,12.52,12.54,12.36,12.44,12.44,480500
2014/8/21,12.48,12.48,12.24,12.28,12.28,448500
2014/8/22,12.28,12.38,12.08,12.18,12.18,536500
2014/8/25,12.32,12.36,12.22,12.26,12.26,519500
2014/8/26,12.46,12.48,12.18,12.32,12.32,703000
2014/8/27,12.4,12.44,12.16,12.3,12.3,2522000
2014/8/28,12.3,12.44,12,12.04,12.04,956500
2014/8/29,12.12,12.42,11.96,12.3,12.3,1169500
