Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,14.43,14.45,14.07,14.16,14.120731,558000
2014/6/3,14.08,14.24,13.94,14.19,14.150647,476800
2014/6/4,14.11,14.13,13.74,13.78,13.741785,1361300
2014/6/5,13.87,14.26,13.81,14.19,14.150647,747300
2014/6/6,14.31,14.46,14.26,14.3,14.260343,341300
2014/6/9,14.3,14.34,14.06,14.09,14.050925,388300
2014/6/10,14.06,14.1,13.93,14.03,13.991092,555500
2014/6/11,14.03,14.03,13.55,13.73,13.691923,1094000
2014/6/12,13.65,13.78,13.58,13.76,13.721841,686300
2014/6/13,13.74,13.86,13.61,13.7,13.662006,431300
2014/6/16,13.69,13.69,13.46,13.57,13.532367,789800
2014/6/17,13.55,13.55,13.34,13.36,13.322949,786700
2014/6/18,13.33,13.8,13.31,13.79,13.751758,578300
2014/6/19,13.87,13.96,13.76,13.91,13.871425,279200
2014/6/20,14.02,14.02,13.54,13.65,13.612145,610600
2014/6/23,13.61,13.61,13.39,13.51,13.472534,797000
2014/6/24,13.51,13.7,13.49,13.56,13.522395,1187300
2014/6/25,13.54,13.66,13.52,13.6,13.562284,298900
2014/6/26,13.56,13.66,13.51,13.62,13.582229,338400
2014/6/27,13.63,13.66,13.53,13.58,13.542339,310300
2014/6/30,13.57,13.62,13.34,13.42,13.382783,559000
2014/7/1,13.42,13.54,13.37,13.43,13.392756,366900
2014/7/2,13.4,13.4,13.29,13.33,13.293033,916700
2014/7/3,13.33,13.51,13.27,13.45,13.4127,285000
2014/7/7,13.39,13.43,13.29,13.38,13.342895,918200
2014/7/8,13.3,13.3,13.1,13.22,13.183338,441500
2014/7/9,13.28,13.63,13.17,13.52,13.482507,1062600
2014/7/10,13.36,13.56,13.3,13.46,13.422672,500100
2014/7/11,13.49,13.52,13.35,13.41,13.372811,412700
2014/7/14,13.47,13.59,13.46,13.52,13.482507,319900
2014/7/15,13.53,13.58,13.33,13.43,13.392756,430700
2014/7/16,13.47,13.73,13.47,13.69,13.652034,473500
2014/7/17,13.57,13.58,13.25,13.29,13.253144,553700
2014/7/18,13.4,13.43,13.21,13.22,13.183338,380100
2014/7/21,12.96,12.96,12.41,12.51,12.475307,1359800
2014/7/22,12.87,12.87,12.37,12.39,12.35564,786200
2014/7/23,12.24,12.4,12.16,12.2,12.166166,792200
2014/7/24,12.29,12.52,12.23,12.32,12.285833,669100
2014/7/25,12.33,12.34,12.2,12.24,12.206056,267600
2014/7/28,12.3,12.35,12.16,12.33,12.295806,313700
2014/7/29,12.38,12.45,12.17,12.22,12.186111,260400
2014/7/30,12.26,12.26,11.86,11.97,11.936805,460500
2014/7/31,11.84,11.88,11.72,11.72,11.687498,605400
2014/8/1,11.72,11.92,11.6,11.87,11.837082,1048300
2014/8/4,11.83,12.04,11.79,12.01,11.976694,635700
2014/8/5,12,12.05,11.86,11.92,11.886943,751500
2014/8/6,11.84,12,11.72,11.91,11.87697,542500
2014/8/7,11.9,12.04,11.86,11.89,11.857027,846100
2014/8/8,11.88,11.88,11.61,11.77,11.73736,612000
2014/8/11,11.81,11.91,11.76,11.9,11.866999,557600
2014/8/12,11.9,11.94,11.79,11.79,11.757303,570200
2014/8/13,11.68,11.79,11.46,11.56,11.527942,1262900
2014/8/14,11.6,11.81,11.58,11.69,11.65758,673300
2014/8/15,11.7,11.75,11.55,11.72,11.687498,336200
2014/8/18,11.75,12.04,11.7,12.02,11.986667,751000
2014/8/19,12.07,12.26,12.05,12.21,12.176139,943700
2014/8/20,12.21,12.54,12.18,12.51,12.475307,663800
2014/8/21,12.47,12.69,12.35,12.41,12.375584,550700
2014/8/22,12.39,12.42,12.17,12.24,12.206056,630100
2014/8/25,12.22,12.28,12.1,12.18,12.146222,251600
2014/8/26,12.23,12.34,12.17,12.3,12.265889,551700
2014/8/27,12.32,12.43,12.32,12.4,12.365612,164700
2014/8/28,12.34,12.34,12.17,12.25,12.216028,595800
2014/8/29,12.24,12.44,12.17,12.4,12.365612,460200
2014/9/2,12.4,12.76,12.3,12.73,12.694696,669100
2014/9/3,12.76,13.06,12.76,13.02,12.983893,1472800
2014/9/4,13.09,13.26,12.94,13.01,12.973921,1234400
2014/9/5,13.08,13.11,12.93,13.03,12.993865,240800
2014/9/8,13.13,13.13,12.93,12.96,12.924059,494500
2014/9/9,12.81,12.94,12.64,12.76,12.724614,461400
2014/9/10,12.68,12.74,12.47,12.59,12.555085,549300
2014/9/11,12.6,12.63,12.37,12.42,12.385556,321900
2014/9/12,12.35,12.37,12.19,12.3,12.265889,519200
2014/9/15,12.28,12.3,11.91,11.92,11.886943,505200
2014/9/16,11.95,12.09,11.86,12.01,11.976694,563500
2014/9/17,12.06,12.06,11.76,11.81,11.777248,512700
2014/9/18,11.79,12.03,11.67,12.01,11.976694,462100
2014/9/19,12.02,12.1,11.7,11.81,11.777248,1037700
