Date,Open,High,Low,Close,Adj Close,Volume
2014/5/1,24.17,24.629999,24.17,24.33,23.668127,5751800
2014/5/2,24.379999,24.389999,23.99,24.18,23.522209,6012600
2014/5/5,24.059999,24.309999,23.879999,24.26,23.600029,4365900
2014/5/6,24.34,24.389999,24.110001,24.200001,23.541664,6246200
2014/5/7,24.280001,24.4,23.85,24.200001,23.541664,5860700
2014/5/8,24.09,24.629999,24.09,24.459999,23.79459,6569700
2014/5/9,24.389999,24.440001,24.02,24.360001,23.697311,3995800
2014/5/12,24.459999,24.969999,24.459999,24.940001,24.261536,4955400
2014/5/13,24.9,25.07,24.73,24.98,24.300444,5296000
2014/5/14,24.940001,24.969999,24.700001,24.91,24.232347,7214300
2014/5/15,24.860001,24.940001,24.469999,24.76,24.086433,5425200
2014/5/16,24.76,24.799999,24.41,24.610001,23.94051,4916500
2014/5/19,24.6,25.209999,24.549999,25.120001,24.436634,3911000
2014/5/20,25.09,25.190001,24.790001,24.950001,24.271261,3741300
2014/5/21,24.99,25.209999,24.950001,25.110001,24.426907,3513600
2014/5/22,25.110001,25.35,25.1,25.27,24.582554,2918300
2014/5/23,25.35,25.83,25.33,25.790001,25.088411,4453300
2014/5/27,25.879999,25.99,25.76,25.870001,25.166231,3772000
2014/5/28,25.940001,26.530001,25.91,26.43,25.710993,5545400
2014/5/29,26.450001,26.59,26.129999,26.440001,25.72073,4107200
2014/5/30,26.4,26.639999,26.360001,26.450001,25.730455,7038300
2014/6/2,26.48,26.780001,26.18,26.709999,26.042456,4973600
2014/6/3,26.75,27.219999,26.74,27.200001,26.52021,8114200
2014/6/4,27.02,27.389999,26.92,27.360001,26.676212,5160800
2014/6/5,27.49,27.65,27.219999,27.280001,26.598213,8612200
2014/6/6,27.32,27.59,27.27,27.59,26.900465,4102700
2014/6/9,27.639999,27.700001,27.23,27.450001,26.763964,5693000
2014/6/10,27.5,27.51,27.059999,27.290001,26.607964,5622200
2014/6/11,27.040001,27.190001,26.780001,26.940001,26.26671,9001100
2014/6/12,26.67,26.68,25.469999,25.719999,25.077198,13574700
2014/6/13,25.700001,26.440001,25.68,26.299999,25.642702,9711300
2014/6/16,26.200001,26.33,25.92,26.1,25.447706,6514100
2014/6/17,26.48,26.700001,26.280001,26.629999,25.964455,7454400
2014/6/18,26.620001,26.73,26.190001,26.67,26.003458,5877700
2014/6/19,26.77,27.08,26.73,27.08,26.403212,6860700
2014/6/20,27.209999,27.379999,27.120001,27.290001,26.607964,8722800
2014/6/23,27.280001,27.370001,26.790001,26.92,26.247208,4500100
2014/6/24,26.9,27.120001,26.629999,26.639999,25.974209,4208300
2014/6/25,26.620001,27.059999,26.440001,26.969999,26.295961,4006500
2014/6/26,27.01,27.1,26.75,27.059999,26.383707,3241400
2014/6/27,26.99,27.209999,26.889999,27.139999,26.461708,9310500
2014/6/30,27.15,27.24,26.790001,26.860001,26.188707,4876100
2014/7/1,27.18,27.83,27.049999,27.73,27.036966,7240100
2014/7/2,27.469999,27.65,27.07,27.469999,26.783461,7540700
2014/7/3,27.59,27.780001,27.549999,27.709999,27.017467,3050500
2014/7/7,27.68,27.709999,27.08,27.17,26.490959,6375800
2014/7/8,26.879999,26.879999,25.860001,26.700001,26.032709,12062600
2014/7/9,27.5,27.65,26.84,27.209999,26.529959,8355100
2014/7/10,27.01,27.440001,26.93,27.27,26.588463,8868400
