Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,44.490002,46.82,44.369999,46.700001,46.700001,7957600
2014/6/3,46.630001,47.75,46.5,47.509998,47.509998,7507000
2014/6/4,47.400002,48.060001,46.279999,46.869999,46.869999,10944600
2014/6/5,46.93,47.689999,46.830002,47,47,4454800
2014/6/6,47.25,48.130001,47.150002,48.049999,48.049999,4178200
2014/6/9,47.599998,48.130001,46.18,46.380001,46.380001,7622000
2014/6/10,46.259998,47.900002,45.5,47.759998,47.759998,6683600
2014/6/11,46.990002,47.27,44.919998,45.259998,45.259998,9453100
2014/6/12,44.02,44.130001,41.599998,42.599998,42.599998,17072500
2014/6/13,42.650002,43.369999,41.91,42.779999,42.779999,10900500
2014/6/16,42.490002,42.77,41.759998,42.529999,42.529999,6974500
2014/6/17,42.580002,44.049999,42.400002,43.919998,43.919998,6882900
2014/6/18,43.82,43.900002,43.009998,43.759998,43.759998,5034900
2014/6/19,44.240002,44.700001,43.130001,43.630001,43.630001,3676700
2014/6/20,43.799999,44.18,43.5,43.66,43.66,4864900
2014/6/23,43.639999,43.66,42.25,43.150002,43.150002,5024000
2014/6/24,43.150002,43.59,41.59,41.790001,41.790001,6871400
2014/6/25,41.580002,42.209999,40.740002,41.810001,41.810001,5060000
2014/6/26,41.490002,42.23,41.040001,41.509998,41.509998,6673100
2014/6/27,41.599998,42.080002,41.040001,41.490002,41.490002,4881500
2014/6/30,41.619999,42.189999,41,41.07,41.07,4453000
2014/7/1,41.740002,42.400002,41.310001,42.259998,42.259998,6201000
2014/7/2,40.889999,40.990002,39.220001,39.27,39.27,12841200
2014/7/3,39.549999,40.490002,39.549999,39.880001,39.880001,4290700
2014/7/7,39.869999,40.009998,38.080002,38.619999,38.619999,8454700
2014/7/8,37.439999,39.779999,36.650002,39.540001,39.540001,15925200
2014/7/9,40.549999,40.98,39.240002,40.07,40.07,7504500
2014/7/10,41.599998,45.259998,41.200001,45.169998,45.169998,20815900
2014/7/11,44.959999,45.810001,44.66,45.700001,45.700001,7650600
2014/7/14,45.73,45.830002,44.82,44.919998,44.919998,5269100
2014/7/15,45.240002,45.900002,44.889999,45.220001,45.220001,5158400
2014/7/16,45.349998,45.59,44.740002,44.900002,44.900002,3880400
2014/7/17,44.68,45.330002,42.959999,43.349998,43.349998,8266200
2014/7/18,43.759998,44.59,43.650002,44.25,44.25,5226100
2014/7/21,44.25,44.27,43.549999,43.790001,43.790001,2590700
2014/7/22,44.09,45.099998,43.959999,44.82,44.82,3545700
2014/7/23,44.75,46.32,44.599998,46,46,7820700
2014/7/24,48.93,49.279999,44.549999,44.919998,44.919998,14792900
2014/7/25,45.52,47.990002,45.220001,46.779999,46.779999,11748200
2014/7/28,46.799999,47.290001,45.880001,46.549999,46.549999,5312900
2014/7/29,46.77,46.900002,45.75,45.84,45.84,4900100
2014/7/30,47.43,47.740002,46.150002,46.970001,46.970001,7006100
2014/7/31,46.040001,47.220001,45.450001,46.389999,46.389999,5015500
2014/8/1,46.5,46.77,45.630001,46.73,46.73,3360900
2014/8/4,46.68,47.389999,44.950001,45.5,45.5,5029500
2014/8/5,45.68,46.169998,43.5,43.939999,43.939999,8486300
2014/8/6,43.549999,44.240002,42.66,43.889999,43.889999,5368700
2014/8/7,44.09,44.720001,42.709999,43.259998,43.259998,5836500
2014/8/8,43.23,43.23,41.93,42.950001,42.950001,6789000
2014/8/11,43.41,43.75,42.75,43.119999,43.119999,4971500
2014/8/12,43.41,43.639999,42.599998,42.799999,42.799999,4529100
2014/8/13,43.09,44.66,42.709999,44.110001,44.110001,4068800
2014/8/14,44.150002,45.939999,44.150002,45.919998,45.919998,5620900
2014/8/15,46,46.400002,44.990002,46.009998,46.009998,5649100
2014/8/18,46.400002,47.889999,46.32,47.84,47.84,5664900
2014/8/19,47.799999,48.32,47.419998,47.68,47.68,5411500
2014/8/20,47.98,49.360001,47.810001,49.25,49.25,4813800
2014/8/21,49.450001,49.52,47.830002,48.009998,48.009998,5271500
2014/8/22,48.189999,48.849998,48,48.459999,48.459999,3380700
2014/8/25,48.799999,49,48.080002,48.509998,48.509998,3591100
2014/8/26,48.650002,48.82,48.080002,48.220001,48.220001,2270200
2014/8/27,48.18,48.75,47.919998,48.220001,48.220001,2438100
2014/8/28,47.830002,48.5,47.52,48.32,48.32,2203700
2014/8/29,48.150002,48.41,47.23,47.610001,47.610001,4096000
2014/9/2,48,50,48,49.990002,49.990002,6237800
2014/9/3,48.740002,49.150002,48.200001,49.029999,49.029999,5439400
2014/9/4,49.27,50.860001,48.799999,50.419998,50.419998,5688300
2014/9/5,50.290001,51.700001,49.830002,50.73,50.73,6309200
2014/9/8,51.130001,51.740002,50.860001,51.130001,51.130001,5489500
