Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,8.84,8.84,8.44,8.57,8.57,214300
2014/6/3,8.57,8.6,8.4,8.43,8.43,494500
2014/6/4,8.4,8.4,8.15,8.19,8.19,138100
2014/6/5,8.13,8.36,8.13,8.27,8.27,91900
2014/6/6,8.3,8.58,8.3,8.46,8.46,197700
2014/6/9,8.51,8.64,8.46,8.5,8.5,87700
2014/6/10,8.52,8.52,8.42,8.5,8.5,72100
2014/6/11,8.45,8.54,8.4,8.51,8.51,93200
2014/6/12,8.51,8.52,8.41,8.51,8.51,70400
2014/6/13,8.5,8.5,8.29,8.36,8.36,63900
2014/6/16,8.35,8.45,8.17,8.21,8.21,81900
2014/6/17,8.19,8.46,8.19,8.39,8.39,56800
2014/6/18,8.39,8.53,8.38,8.45,8.45,56200
2014/6/19,8.5,8.6,8.48,8.56,8.56,103300
2014/6/20,8.6,8.83,8.54,8.75,8.75,444700
2014/6/23,8.73,8.73,8.51,8.57,8.57,71200
2014/6/24,8.61,8.63,8.49,8.5,8.5,34500
2014/6/25,8.51,8.59,8.42,8.54,8.54,45700
2014/6/26,8.53,8.59,8.39,8.53,8.53,56300
2014/6/27,8.56,8.67,8.48,8.64,8.64,69400
2014/6/30,8.61,9.07,8.6,9,9,282300
2014/7/1,9.01,9.5,9.01,9.49,9.49,230000
2014/7/2,9.49,9.49,9.15,9.17,9.17,178200
2014/7/3,9.24,9.29,9.12,9.26,9.26,531200
2014/7/7,9.26,9.3,8.88,9.11,9.11,116400
2014/7/8,9.05,9.06,8.79,8.9,8.9,192100
2014/7/9,8.88,8.97,8.72,8.75,8.75,51800
2014/7/10,8.63,8.73,8.57,8.6,8.6,56400
2014/7/11,8.58,8.81,8.58,8.68,8.68,96500
2014/7/14,8.78,8.86,8.72,8.79,8.79,29600
2014/7/15,8.81,8.85,8.66,8.82,8.82,298300
2014/7/16,8.87,8.87,8.52,8.56,8.56,136000
2014/7/17,8.55,8.57,8.25,8.25,8.25,60300
2014/7/18,8.37,8.37,8.2,8.29,8.29,89100
2014/7/21,8.25,8.35,8.14,8.25,8.25,62700
2014/7/22,8.24,8.29,8.06,8.25,8.25,78800
2014/7/23,8.3,8.48,8.21,8.4,8.4,93400
2014/7/24,8.48,8.7,8.37,8.63,8.63,239200
2014/7/25,8.66,8.87,8.55,8.62,8.62,162300
2014/7/28,8.61,8.94,8.54,8.85,8.85,287300
2014/7/29,8.82,9.04,8.75,8.92,8.92,123300
2014/7/30,9,9,8.76,8.84,8.84,85000
2014/7/31,8.8,8.8,8.58,8.61,8.61,73700
2014/8/1,8.67,8.89,8.67,8.82,8.82,54600
2014/8/4,8.82,8.98,8.63,8.65,8.65,38900
2014/8/5,8.67,8.75,8.5,8.51,8.51,46800
2014/8/6,8.51,8.56,8.37,8.43,8.43,79400
2014/8/7,8.44,8.48,8.3,8.3,8.3,37200
2014/8/8,8.34,8.35,8.1,8.21,8.21,76900
2014/8/11,8.2,8.47,8.2,8.47,8.47,33900
2014/8/12,8.45,8.6,8.37,8.56,8.56,49300
2014/8/13,8.55,8.62,8.47,8.62,8.62,33200
2014/8/14,8.59,8.82,8.53,8.81,8.81,77000
2014/8/15,8.73,9.01,8.68,8.91,8.91,91800
2014/8/18,8.99,9.14,8.86,9.14,9.14,77600
2014/8/19,9.1,9.18,9.07,9.15,9.15,59400
2014/8/20,9.1,9.13,8.93,9.04,9.04,30900
2014/8/21,9.02,9.12,8.93,8.99,8.99,35600
