Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,14.67,14.79,14.32,14.33,14.073249,562100
2014/6/3,14.27,14.28,14.06,14.21,13.9554,791900
2014/6/4,14.22,14.25,14,14.12,13.867011,601700
2014/6/5,14.22,14.31,14.03,14.26,14.004502,1205200
2014/6/6,14.45,14.5,14.26,14.48,14.22056,752600
2014/6/9,14.47,14.85,14.45,14.66,14.397336,801700
2014/6/10,14.67,14.67,14.44,14.54,14.279487,471000
2014/6/11,14.47,14.55,14.34,14.46,14.200919,876100
2014/6/12,14.6,15.68,14.6,15.68,15.399061,1296500
2014/6/13,15.71,15.94,15.44,15.9,15.615118,777900
2014/6/16,15.86,16.209999,15.74,15.75,15.467806,569100
2014/6/17,15.65,15.71,15.25,15.39,15.114257,540800
2014/6/18,15.48,15.63,15.38,15.6,15.320495,361600
2014/6/19,15.61,16.07,15.48,16.059999,15.772251,501700
2014/6/20,16.18,16.469999,16,16.4,16.106161,883400
2014/6/23,16.450001,16.73,16.41,16.450001,16.155266,625100
2014/6/24,16.559999,16.559999,15.76,15.82,15.536552,1026200
2014/6/25,15.73,16.309999,15.73,16.299999,16.007952,666100
2014/6/26,16.370001,16.370001,15.95,16.15,15.860639,440200
2014/6/27,16.09,16.41,16.040001,16.389999,16.09634,692000
2014/6/30,16.32,16.42,16.1,16.370001,16.076698,510800
2014/7/1,16.450001,16.73,16.33,16.6,16.302576,506200
2014/7/2,16.549999,16.75,16.17,16.25,15.958847,323700
2014/7/3,16.32,16.35,16.15,16.24,15.949026,118000
2014/7/7,16.139999,16.16,15.71,15.73,15.448164,373800
2014/7/8,15.75,16.02,15.55,15.99,15.703506,386400
2014/7/9,15.95,16.190001,15.95,16.07,15.782072,405800
2014/7/10,15.75,15.79,15.46,15.61,15.330315,518000
2014/7/11,15.53,15.65,15.2,15.23,14.957123,754100
2014/7/14,15.41,15.79,15.31,15.52,15.241927,751400
2014/7/15,15.41,15.55,14.73,14.76,14.495545,681200
2014/7/16,14.85,15.15,14.81,15.1,14.829453,379500
2014/7/17,15.1,15.25,14.47,14.54,14.279487,922400
2014/7/18,14.54,14.76,14.37,14.7,14.436619,769300
2014/7/21,14.59,14.7,14.5,14.64,14.377694,295100
2014/7/22,14.69,15.12,14.6,14.99,14.721423,432300
2014/7/23,14.87,14.89,14.62,14.79,14.525006,456300
2014/7/24,14.79,14.99,14.57,14.6,14.338412,342400
2014/7/25,14.47,14.5,14.16,14.26,14.004502,378700
2014/7/28,14.25,14.31,13.82,13.94,13.690236,349800
2014/7/29,13.9,14.19,13.88,14.03,13.778624,336000
2014/7/30,14.14,14.15,13.65,13.78,13.533103,397700
2014/7/31,13.77,13.77,13.38,13.41,13.169732,542000
2014/8/1,13.43,13.43,12.78,13.14,12.904571,766600
2014/8/4,13.3,13.64,13.04,13.57,13.326865,558800
2014/8/5,13.46,13.57,12.77,12.98,12.747436,777900
2014/8/6,13.01,13.48,12.81,12.92,12.688512,1020900
2014/8/7,13.6,15,13.59,14.75,14.485723,2149700
2014/8/8,14.78,15.12,14.47,15.05,14.780349,1015600
2014/8/11,15.05,15.12,14.39,14.4,14.141994,596700
2014/8/12,14.27,14.34,13.54,13.8,13.552745,858300
2014/8/13,13.82,13.91,13.52,13.72,13.474178,507000
2014/8/14,13.87,13.95,13.4,13.42,13.179553,472300
2014/8/15,13.57,13.87,13.38,13.86,13.61167,516500
2014/8/18,13.88,14.06,13.59,13.8,13.552745,478700
2014/8/19,13.82,14.07,13.81,13.83,13.582208,487300
2014/8/20,13.79,13.79,13.49,13.71,13.562423,474800
2014/8/21,13.76,14.26,13.54,14.24,14.086717,628600
2014/8/22,14.12,14.15,13.67,14,13.8493,606000
2014/8/25,14.07,14.48,14.06,14.4,14.244994,466800
2014/8/26,14.44,14.79,14.42,14.48,14.324133,409500
2014/8/27,14.5,14.63,14.32,14.43,14.274673,237400
2014/8/28,14.47,14.72,14.38,14.59,14.43295,441900
2014/8/29,14.66,14.94,14.54,14.92,14.759398,611500
2014/9/2,14.85,14.85,14.17,14.5,14.343919,713900
2014/9/3,14.62,14.69,14.32,14.39,14.235103,522900
2014/9/4,14.33,14.56,13.85,14,13.8493,852700
2014/9/5,14.19,14.53,14.12,14.41,14.254888,800000
2014/9/8,14.27,14.27,13.41,13.57,13.423929,710900
2014/9/9,13.61,13.76,13.16,13.24,13.097481,600600
2014/9/10,13.16,13.46,12.91,13.36,13.216189,670500
2014/9/11,13.16,13.81,13,13.78,13.631668,848600
2014/9/12,13.71,13.75,13.24,13.41,13.265652,812400
2014/9/15,13.4,13.45,13.04,13.21,13.067804,469600
2014/9/16,13.24,13.55,13.24,13.34,13.196405,647600
2014/9/17,13.35,13.67,13.3,13.38,13.235974,417500
2014/9/18,13.32,13.42,12.88,12.97,12.830388,597600
2014/9/19,12.99,13.15,12.66,12.73,12.592971,704900
2014/9/22,12.73,12.86,12.07,12.17,12.039,603000
2014/9/23,12.19,12.71,12,12.14,12.009322,943700
2014/9/24,12.12,12.47,11.78,12.18,12.048892,1106700
2014/9/25,12.39,12.39,11.39,11.45,11.326749,1747200
2014/9/26,11.45,11.78,11.3,11.66,11.534489,1011100
2014/9/29,11.5,11.84,11.37,11.78,11.653197,1052900
2014/9/30,11.84,11.98,10.87,11,10.881594,1991500
2014/10/1,11.1,11.32,10.45,10.62,10.505684,1048700
2014/10/2,10.53,10.81,10.03,10.79,10.673854,1091700
2014/10/3,10.81,10.9,10.42,10.58,10.466114,919100
2014/10/6,10.63,11.25,10.58,11.03,10.91127,1888300
2014/10/7,10.91,10.95,10.46,10.47,10.357299,1552900
2014/10/8,10.36,10.82,9.95,10.81,10.693639,1923800
2014/10/9,10.57,10.57,9.35,9.48,9.377954,2369300
2014/10/10,9.35,9.93,9.06,9.29,9.190001,1499000
2014/10/13,9.19,9.48,8.45,8.73,8.636027,2242600
2014/10/14,8.78,9.22,8.37,8.69,8.596458,1964900
2014/10/15,8.44,9.35,8.2,9.34,9.239462,2005200
2014/10/16,9.13,10.59,8.92,10.05,9.941819,2178800
2014/10/17,10.34,10.64,9.35,9.39,9.288924,1306200
2014/10/20,9.34,9.68,9.08,9.56,9.457094,697700
2014/10/21,9.73,10.27,9.48,9.73,9.625263,1171300
2014/10/22,9.8,9.96,8.78,8.79,8.695382,1534900
2014/10/23,9.06,9.41,8.85,9.28,9.180107,1429800
2014/10/24,9.21,9.22,8.9,9.1,9.002046,981900
2014/10/27,8.89,8.97,8.36,8.65,8.556889,1079300
2014/10/28,8.81,9.47,8.62,9.4,9.298816,1178500
2014/10/29,9.49,9.99,9.29,9.45,9.348278,1239300
2014/10/30,9.3,9.56,8.68,8.97,8.873445,1007700
2014/10/31,8.96,9.11,8.35,9.09,8.992153,1651100
2014/11/3,9.2,9.62,8.66,8.79,8.695382,1514900
2014/11/4,8.44,8.5,8,8.06,7.973241,1935400
2014/11/5,8.17,8.82,8.05,8.65,8.556889,1244000
2014/11/6,8.76,8.87,8.05,8.61,8.51732,1573100
2014/11/7,8.56,9.45,8.56,9.31,9.209785,1857000
2014/11/10,9.36,9.57,8.71,8.9,8.804198,2697900
2014/11/11,8.88,9.57,8.88,9.33,9.229569,1568000
2014/11/12,9.16,9.69,9.1,9.67,9.56591,2216600
2014/11/13,9.51,9.67,9.16,9.29,9.190001,2592600
2014/11/14,9.18,9.8,9.14,9.72,9.72,1415000
2014/11/17,9.52,9.73,9.35,9.61,9.61,2315400
2014/11/18,9.58,9.83,9.31,9.65,9.65,1766600
2014/11/19,9.71,9.72,9.22,9.46,9.46,1514100
2014/11/20,9.48,10.14,9.48,10,10,1173000
2014/11/21,10.32,10.78,10.25,10.69,10.69,1767700
2014/11/24,10.6,10.75,10,10.18,10.18,1474900
2014/11/25,10.31,10.52,9.64,9.81,9.81,1504300
2014/11/26,9.69,9.69,9.1,9.19,9.19,2208000
2014/11/28,8.43,8.44,7.52,7.53,7.53,2132200
2014/12/1,7.44,7.69,6.5,7.12,7.12,2814500
2014/12/2,7.02,7.41,6.69,6.78,6.78,2531900
2014/12/3,6.8,7.44,6.78,7.06,7.06,2549700
2014/12/4,6.86,7.03,6.5,6.51,6.51,2820500
2014/12/5,6.54,6.69,6.45,6.49,6.49,2798600
2014/12/8,6.36,6.39,5.58,5.82,5.82,3043700
2014/12/9,5.78,6.71,5.76,6.62,6.62,2880500
2014/12/10,6.21,6.25,5.7,5.97,5.97,2148400
2014/12/11,5.99,6.15,5.83,5.9,5.9,1475200
2014/12/12,5.74,6.02,5.59,5.68,5.68,2216100
2014/12/15,5.8,5.99,5.43,5.49,5.49,2686700
2014/12/16,5.41,6.1,5.34,5.83,5.83,2407700
2014/12/17,5.88,6.95,5.88,6.74,6.74,3072800
2014/12/18,6.98,7.52,6.41,6.73,6.73,3293100
2014/12/19,6.8,7.88,6.75,7.63,7.63,5775100
2014/12/22,7.46,7.69,6.99,7.52,7.52,2758500
2014/12/23,7.61,7.95,7.56,7.67,7.67,2856200
2014/12/24,7.51,7.83,7.42,7.55,7.55,1098500
2014/12/26,7.61,7.79,7.37,7.49,7.49,1154900
2014/12/29,7.65,7.87,7.53,7.72,7.72,1592400
2014/12/30,7.6,7.79,7.43,7.43,7.43,1106000
2014/12/31,7.29,7.44,6.94,7.34,7.34,1434700
2015/1/2,7.28,7.48,6.99,7.43,7.43,1583100
2015/1/5,7.2,7.21,6.68,6.73,6.73,1525800
2015/1/6,6.63,6.76,6.16,6.25,6.25,1998700
2015/1/7,6.47,6.7,6.07,6.2,6.2,1597200
2015/1/8,6.54,6.64,6.17,6.25,6.25,2447900
2015/1/9,6.26,6.35,5.96,6.11,6.11,2109700
2015/1/12,5.94,6.08,5.78,6.03,6.03,1355000
2015/1/13,6.02,6.22,5.8,5.96,5.96,1678300
2015/1/14,5.85,6.18,5.72,6.13,6.13,2523600
2015/1/15,6.35,6.38,5.85,5.87,5.87,1551600
2015/1/16,5.93,6.16,5.71,5.87,5.87,3743200
2015/1/20,5.8,5.86,5.38,5.71,5.71,2369500
2015/1/21,5.81,5.87,5.57,5.69,5.69,2222800
2015/1/22,5.74,5.82,5.46,5.63,5.63,1684200
2015/1/23,5.63,5.73,5.5,5.55,5.55,1166500
2015/1/26,5.59,5.63,5.39,5.42,5.42,2330200
2015/1/27,5.37,5.64,5.36,5.52,5.52,3028900
2015/1/28,5.5,5.5,5.12,5.14,5.14,2475500
2015/1/29,5.22,5.25,4.8,4.97,4.97,2370200
2015/1/30,4.93,5.2,4.84,5.06,5.06,2688000
2015/2/2,5.14,5.55,5.06,5.52,5.52,2418400
2015/2/3,5.71,6.41,5.69,6.25,6.25,6367000
2015/2/4,6.15,6.2,5.34,5.44,5.44,3811100
2015/2/5,5.52,5.99,5.5,5.92,5.92,2665900
2015/2/6,6.07,6.43,6,6.31,6.31,3887500
2015/2/9,6.44,7.18,6.44,6.62,6.62,4687100
2015/2/10,6.63,6.7,6.05,6.26,6.26,2391400
2015/2/11,6.06,6.16,5.8,5.98,5.98,2490800
2015/2/12,6.28,6.38,6.09,6.14,6.14,2539500
2015/2/13,6.35,6.7,6.33,6.55,6.55,3122000
2015/2/17,6.48,6.71,6.36,6.68,6.68,2202600
2015/2/18,6.58,6.65,6.3,6.35,6.35,2078300
2015/2/19,6.15,6.51,6,6.33,6.33,2113700
2015/2/20,6.35,6.46,6.15,6.25,6.25,1640000
2015/2/23,6.15,6.33,6.02,6.11,6.11,1879800
2015/2/24,6.22,6.28,5.88,5.96,5.96,2462500
2015/2/25,6.09,6.19,5.7,6.13,6.13,3304300
2015/2/26,6.04,6.07,5.85,5.92,5.92,1924600
2015/2/27,5.98,6.05,5.9,5.97,5.97,1866800
2015/3/2,5.91,5.97,5.75,5.84,5.84,2132200
2015/3/3,5.86,6.1,5.78,5.82,5.82,2933000
2015/3/4,5.8,5.87,5.64,5.83,5.83,1680600
2015/3/5,5.65,6.29,5.51,6.23,6.23,4308500
2015/3/6,6.06,6.48,6.01,6.35,6.35,2845300
2015/3/9,6.35,6.49,6.13,6.16,6.16,3210100
2015/3/10,6.06,6.21,5.72,5.81,5.81,3071300
2015/3/11,5.86,5.97,5.53,5.65,5.65,2586300
2015/3/12,5.69,5.74,5.41,5.55,5.55,2193700
2015/3/13,5.41,5.46,5.06,5.3,5.3,2991200
2015/3/16,5.24,5.24,5.01,5.15,5.15,2153900
2015/3/17,5.11,5.15,4.85,4.92,4.92,2586700
2015/3/18,4.82,5.15,4.63,5.14,5.14,4681900
2015/3/19,5,5.17,4.76,5.11,5.11,4688300
2015/3/20,5.18,5.31,5.02,5.04,5.04,3207200
2015/3/23,5,5.22,4.94,4.94,4.94,2764700
2015/3/24,5,5.08,4.91,5.05,5.05,2529900
2015/3/25,5.08,5.29,5,5.25,5.25,3027400
2015/3/26,5.41,5.61,5.25,5.43,5.43,2549100
2015/3/27,5.29,5.32,5.14,5.17,5.17,1884300
2015/3/30,5.21,5.26,4.99,5.13,5.13,1847700
2015/3/31,5.05,5.24,5.01,5.11,5.11,1655900
2015/4/1,5.13,5.31,5.12,5.22,5.22,2218400
2015/4/2,5.17,5.36,5.11,5.35,5.35,2385500
2015/4/6,5.42,5.9,5.38,5.9,5.9,2801500
2015/4/7,5.81,6.45,5.79,6.03,6.03,5047100
2015/4/8,6.03,6.17,5.7,5.73,5.73,3618200
2015/4/9,5.79,5.92,5.6,5.84,5.84,3324000
2015/4/10,5.87,6.04,5.86,5.91,5.91,1186800
2015/4/13,6,6.11,5.92,6.05,6.05,1903800
2015/4/14,6.08,6.38,6.07,6.35,6.35,3069100
2015/4/15,6.4,6.89,6.39,6.85,6.85,4886300
2015/4/16,6.75,7.06,6.4,6.86,6.86,3062100
2015/4/17,6.8,6.97,6.63,6.74,6.74,2345700
2015/4/20,6.75,7.06,6.7,6.77,6.77,2945500
2015/4/21,6.79,6.91,6.29,6.33,6.33,2752900
2015/4/22,6.34,6.48,6.13,6.27,6.27,2315900
2015/4/23,6.33,6.53,6.32,6.36,6.36,1931700
2015/4/24,6.35,6.4,6.21,6.26,6.26,1578700
2015/4/27,6.25,6.3,5.85,5.88,5.88,4246300
2015/4/28,5.86,6.04,5.85,5.93,5.93,2406800
2015/4/29,5.9,6.45,5.86,6.31,6.31,3152900
2015/4/30,6.37,6.48,6.16,6.43,6.43,2928400
2015/5/1,6.33,6.42,6.12,6.21,6.21,3213900
2015/5/4,6.22,6.42,6.2,6.32,6.32,2545400
2015/5/5,6.52,6.71,6.41,6.46,6.46,3357500
2015/5/6,6.63,6.65,6.02,6.19,6.19,4356500
2015/5/7,6.05,6.15,5.7,5.73,5.73,5305500
2015/5/8,5.84,6.02,5.53,6.01,6.01,3631800
2015/5/11,6.05,6.06,5.75,5.79,5.79,2504100
2015/5/12,5.81,5.94,5.73,5.86,5.86,2233800
2015/5/13,5.95,5.98,5.7,5.78,5.78,2058700
2015/5/14,5.8,5.88,5.55,5.58,5.58,2418400
2015/5/15,5.54,5.74,5.37,5.7,5.7,2164200
2015/5/18,5.69,5.7,5.48,5.56,5.56,1803300
2015/5/19,5.54,5.6,5.19,5.19,5.19,2358000
2015/5/20,5.2,5.26,5.05,5.15,5.15,2411300
2015/5/21,5.22,5.44,5.18,5.42,5.42,1795100
2015/5/22,5.33,5.48,5.27,5.32,5.32,1406900
2015/5/26,5.2,5.28,5.09,5.11,5.11,1790600
2015/5/27,5.1,5.33,5.09,5.18,5.18,1266200
2015/5/28,5.1,5.24,5.09,5.19,5.19,1254900
2015/5/29,5.2,5.47,5.2,5.41,5.41,1476900
2015/6/1,5.42,5.44,5.23,5.27,5.27,1047300
2015/6/2,5.3,5.55,5.3,5.48,5.48,1166800
2015/6/3,5.41,5.52,5.25,5.33,5.33,1135200
2015/6/4,5.25,5.33,5.2,5.23,5.23,981500
2015/6/5,5.15,5.4,5.14,5.28,5.28,1362800
2015/6/8,5.25,5.31,5.19,5.29,5.29,1118300
2015/6/9,5.37,5.49,5.32,5.37,5.37,894800
2015/6/10,5.44,5.49,5.39,5.48,5.48,735600
2015/6/11,5.46,5.53,5.29,5.4,5.4,1313700
2015/6/12,5.36,5.36,5.21,5.29,5.29,767900
2015/6/15,5.25,5.45,5.21,5.36,5.36,925300
2015/6/16,5.33,5.4,5.31,5.39,5.39,499700
2015/6/17,5.42,5.55,5.36,5.41,5.41,951600
2015/6/18,5.42,5.53,5.31,5.42,5.42,1087500
2015/6/19,5.41,5.55,5.34,5.49,5.49,1551800
2015/6/22,5.5,5.71,5.4,5.62,5.62,1717800
2015/6/23,5.61,5.73,5.52,5.67,5.67,1064600
2015/6/24,5.66,5.75,5.62,5.68,5.68,1376000
2015/6/25,5.64,5.78,5.54,5.74,5.74,1029700
2015/6/26,5.71,5.76,5.57,5.67,5.67,1729000
2015/6/29,5.55,5.58,5.36,5.37,5.37,957000
2015/6/30,5.46,5.52,5.31,5.48,5.48,986400
2015/7/1,5.42,5.47,5.14,5.16,5.16,1458300
2015/7/2,5.27,5.35,5.12,5.14,5.14,849300
2015/7/6,5.07,5.1,4.77,4.81,4.81,2142100
2015/7/7,4.75,4.98,4.45,4.85,4.85,2809400
2015/7/8,4.75,4.84,4.42,4.54,4.54,2009800
2015/7/9,4.69,4.85,4.6,4.75,4.75,2156400
2015/7/10,4.84,4.9,4.63,4.67,4.67,976600
2015/7/13,4.65,4.84,4.51,4.66,4.66,664800
2015/7/14,4.59,4.93,4.59,4.91,4.91,893100
2015/7/15,4.83,4.99,4.57,4.6,4.6,935200
2015/7/16,4.64,4.8,4.46,4.55,4.55,1008300
2015/7/17,4.55,4.55,4.4,4.43,4.43,755300
2015/7/20,4.43,4.47,4.17,4.3,4.3,1248300
2015/7/21,4.36,4.59,4.3,4.48,4.48,1074500
2015/7/22,4.48,4.48,4.17,4.36,4.36,1317300
2015/7/23,4.43,4.53,4.21,4.52,4.52,1071200
2015/7/24,4.51,4.51,4.18,4.27,4.27,978600
2015/7/27,4.16,4.18,3.95,3.99,3.99,926100
2015/7/28,4.02,4.09,3.84,3.88,3.88,1486200
2015/7/29,3.86,4.08,3.7,4.08,4.08,2406700
2015/7/30,4.04,4.07,3.9,4.03,4.03,1279700
2015/7/31,4.02,4.04,3.69,3.77,3.77,1088100
2015/8/3,3.69,3.7,3.41,3.44,3.44,1283800
2015/8/4,3.47,3.56,3.38,3.45,3.45,1128100
2015/8/5,3.54,3.56,3.18,3.2,3.2,979600
2015/8/6,3.11,3.77,3.05,3.69,3.69,2833900
2015/8/7,3.66,3.78,3.21,3.29,3.29,1386800
2015/8/10,3.36,3.6,3.21,3.58,3.58,649900
2015/8/11,3.45,3.5,3.32,3.47,3.47,767200
2015/8/12,3.45,3.65,3.45,3.58,3.58,749200
2015/8/13,3.48,3.52,3.31,3.4,3.4,839900
2015/8/14,3.4,3.54,3.3,3.34,3.34,712400
2015/8/17,3.27,3.42,3.23,3.39,3.39,608300
2015/8/18,3.35,3.38,3.22,3.35,3.35,704700
2015/8/19,3.29,3.34,3.08,3.13,3.13,1005400
2015/8/20,3.11,3.18,2.99,3.03,3.03,1062900
2015/8/21,2.97,3.08,2.8,2.82,2.82,1665000
2015/8/24,2.52,2.92,2.51,2.71,2.71,1136200
2015/8/25,3.24,3.24,2.68,2.69,2.69,1049400
2015/8/26,2.75,2.86,2.62,2.84,2.84,931800
2015/8/27,2.94,3.11,2.9,2.99,2.99,1447400
2015/8/28,3.05,3.5,3,3.22,3.22,3082600
2015/8/31,3.14,3.58,3.05,3.57,3.57,1914600
2015/9/1,3.58,3.84,3.5,3.54,3.54,2096700
2015/9/2,3.61,3.66,3.23,3.5,3.5,1046700
2015/9/3,3.54,3.65,3.36,3.43,3.43,1262900
2015/9/4,3.38,3.61,3.33,3.6,3.6,818700
2015/9/8,3.58,3.66,3.36,3.53,3.53,1106200
2015/9/9,3.58,3.72,3.32,3.35,3.35,1296900
2015/9/10,3.35,3.4,3.19,3.24,3.24,1028300
2015/9/11,3.17,3.23,3.02,3.08,3.08,1050100
2015/9/14,3.12,3.14,3,3.07,3.07,483200
2015/9/15,3.02,3.48,3.02,3.27,3.27,1682600
2015/9/16,3.38,3.67,3.38,3.61,3.61,1674600
2015/9/17,3.56,3.85,3.51,3.76,3.76,1803400
2015/9/18,3.63,3.68,3.53,3.68,3.68,1888100
2015/9/21,3.7,3.81,3.62,3.65,3.65,1059400
2015/9/22,3.54,3.73,3.48,3.54,3.54,680000
2015/9/23,3.59,3.6,3.36,3.42,3.42,763000
2015/9/24,3.35,3.47,3.23,3.41,3.41,737400
