Date,Open,High,Low,Close,Adj Close,Volume
2014/6/2,14.54,14.57,14.53,14.56,13.639177,10900
2014/6/3,14.69,14.82,14.69,14.78,13.845263,21400
2014/6/4,14.58,14.61,14.47,14.55,13.629808,32200
2014/6/5,14.63,14.72,14.62,14.64,13.714118,37700
2014/6/6,14.66,14.66,14.59,14.61,13.686014,13800
2014/6/9,14.62,14.82,14.62,14.71,13.779691,33900
2014/6/10,15.41,15.53,15.37,15.45,14.472889,65700
2014/6/11,15.46,15.49,15.38,15.4,14.426052,23400
2014/6/12,15.97,15.97,15.82,15.83,14.828858,49400
2014/6/13,15.98,16,15.92,15.94,14.931901,46700
2014/6/16,15.88,15.94,15.64,15.83,14.828858,34800
2014/6/17,15.4,15.43,15.32,15.38,14.407316,49400
2014/6/18,15.22,15.38,15.2,15.33,14.360479,36800
2014/6/19,15.14,15.17,15.08,15.13,14.173129,25800
2014/6/20,15.11,15.11,15.03,15.11,14.154393,27000
2014/6/23,15.22,15.28,15.19,15.19,14.229334,17700
2014/6/24,15.22,15.3,15.14,15.15,14.191863,17800
2014/6/25,15.22,15.31,15.18,15.27,14.304274,19400
2014/6/26,15.32,15.43,15.3,15.35,14.379214,20200
2014/6/27,15.02,15.13,14.9,14.93,14.284495,33800
2014/6/30,15,15.05,14.96,15,14.351469,16900
2014/7/1,15.01,15.09,15,15,14.351469,31800
2014/7/2,15.34,15.43,15.26,15.26,14.600228,29200
2014/7/3,15.5,15.51,15.47,15.48,14.810715,29000
2014/7/7,15.64,15.69,15.55,15.58,14.906392,33000
2014/7/8,15.53,15.55,15.36,15.45,14.782013,35300
2014/7/9,15.38,15.5,15.36,15.44,14.772445,17600
2014/7/10,15.25,15.39,15.19,15.37,14.705471,29000
2014/7/11,15.56,15.68,15.24,15.35,14.686337,29500
2014/7/14,15.64,15.72,15.61,15.61,14.935095,40100
2014/7/15,15.57,15.65,15.54,15.58,14.906392,19700
2014/7/16,15.76,15.83,15.72,15.72,15.040339,29400
2014/7/17,15.64,15.7,15.51,15.54,14.868121,23400
2014/7/18,15.82,15.87,15.78,15.8,15.116879,21000
2014/7/21,15.66,15.68,15.55,15.65,14.973365,14700
2014/7/22,15.81,15.81,15.73,15.75,15.069042,23500
2014/7/23,16.059999,16.059999,15.8,15.93,15.24126,75800
2014/7/24,16.190001,16.35,16.120001,16.280001,15.576127,106800
2014/7/25,16.209999,16.280001,16.15,16.27,15.566561,19700
2014/7/28,16.66,16.690001,16.59,16.67,15.949266,45500
2014/7/29,16.950001,16.969999,16.799999,16.84,16.111914,32800
2014/7/30,16.780001,16.799999,16.6,16.639999,15.920563,22700
2014/7/31,16.82,16.83,16.65,16.65,15.93013,44600
2014/8/1,17.040001,17.1,16.940001,17.02,16.284134,38100
2014/8/4,17.610001,17.709999,17.52,17.59,16.829489,61600
2014/8/5,17.43,17.459999,17.26,17.459999,16.705109,32700
2014/8/6,17.719999,17.73,17.57,17.65,16.886894,41900
2014/8/7,17.25,17.33,17.110001,17.18,16.437216,23200
2014/8/8,17.049999,17.139999,16.969999,17.139999,16.398945,15600
2014/8/11,17.299999,17.5,17.299999,17.459999,16.705109,19000
2014/8/12,17.23,17.25,17.17,17.25,16.504189,16600
2014/8/13,17.6,17.709999,17.57,17.610001,16.848625,29300
2014/8/14,17.49,17.530001,17.41,17.52,16.762516,35200
2014/8/15,17.370001,17.4,17.24,17.27,16.523325,19600
2014/8/18,17.25,17.379999,17.200001,17.379999,16.628565,31200
2014/8/19,17.23,17.33,17.23,17.33,16.580729,20000
2014/8/20,17.360001,17.41,17.309999,17.370001,16.619001,15600
2014/8/21,17.299999,17.299999,17.09,17.129999,16.389376,16400
2014/8/22,17.07,17.07,16.83,16.879999,16.150185,26500
2014/8/25,17.5,17.5,17.370001,17.440001,16.685974,20000
2014/8/26,17.01,17.01,16.91,16.93,16.198025,17400
2014/8/27,17.07,17.110001,17.01,17.07,16.33197,9600
2014/8/28,16.49,16.549999,16.379999,16.48,15.767479,19900
2014/8/29,16.6,16.639999,16.190001,16.190001,15.490018,16500
2014/9/2,17.4,17.43,17.27,17.290001,16.542459,26500
2014/9/3,17.49,17.5,17.32,17.379999,16.628565,17900
2014/9/4,17.58,17.620001,17.440001,17.49,16.733812,40500
2014/9/5,17.709999,17.709999,17.639999,17.65,16.886894,22800
2014/9/8,17.780001,17.780001,17.66,17.719999,16.953869,17800
2014/9/9,17.73,17.73,17.57,17.67,16.906029,13600
2014/9/10,17.549999,17.629999,17.450001,17.629999,16.86776,8700
2014/9/11,17.440001,17.540001,17.42,17.530001,16.772083,19000
2014/9/12,17.139999,17.17,17.049999,17.08,16.341537,15800
2014/9/15,17.709999,17.719999,17.49,17.49,16.733812,34500
2014/9/16,17.75,17.870001,17.65,17.76,16.99214,53900
2014/9/17,18.27,18.389999,18.23,18.290001,17.499226,87800
2014/9/18,17.959999,18.049999,17.9,18.02,17.240898,15700
2014/9/19,17.469999,17.49,17.290001,17.299999,16.552027,27800
2014/9/22,17.27,17.27,17.08,17.129999,16.389376,25400
2014/9/23,16.959999,17.01,16.870001,16.870001,16.140621,15500
2014/9/24,16.860001,16.99,16.82,16.969999,16.236296,22200
2014/9/25,16.950001,16.950001,16.790001,16.860001,16.131052,15200
2014/9/26,17.040001,17.1,17.02,17.02,16.284134,6400
2014/9/29,16.4,16.440001,16.360001,16.379999,15.671803,21600
2014/9/30,16.23,16.32,16.200001,16.32,15.614398,17100
2014/10/1,16.24,16.24,15.97,16.02,15.327369,36500
2014/10/2,16,16.030001,15.79,15.97,15.279531,49800
2014/10/3,16.41,16.450001,16.33,16.389999,15.681371,23300
2014/10/6,17.01,17.120001,17.01,17.02,16.284134,28200
2014/10/7,17.790001,17.84,17.629999,17.639999,16.877325,47000
2014/10/8,17.93,18.18,17.799999,18.129999,17.346142,233000
2014/10/9,17.629999,17.690001,17.360001,17.43,16.676407,35000
2014/10/10,17.209999,17.440001,16.690001,16.780001,16.054508,110100
2014/10/13,16.860001,17.02,16.690001,16.709999,15.987535,37300
2014/10/14,16.370001,16.4,16.25,16.299999,15.595262,71900
2014/10/15,16.700001,17.059999,16.66,16.82,16.092779,178000
2014/10/16,16.610001,17.110001,16.610001,16.860001,16.131052,38900
2014/10/17,16.559999,16.68,16.52,16.58,15.863156,30300
2014/10/20,16.4,16.58,16.4,16.57,15.853589,24700
2014/10/21,16.43,16.5,16.32,16.41,15.700507,34700
2014/10/22,16.200001,16.219999,16.09,16.09,15.394342,49300
2014/10/23,16.200001,16.33,16.200001,16.24,15.537856,24200
2014/10/24,16.110001,16.16,16.059999,16.08,15.384774,16100
2014/10/27,16.059999,16.18,16.040001,16.16,15.461315,11200
2014/10/28,16.48,16.620001,16.48,16.620001,15.901429,23400
2014/10/29,17.23,17.280001,17.120001,17.16,16.418081,33000
2014/10/30,17.299999,17.469999,17.059999,17.379999,16.628565,35100
2014/10/31,17.51,17.540001,17.43,17.540001,16.781651,43500
2014/11/3,18.27,18.4,18.209999,18.280001,17.489658,75500
2014/11/4,18.379999,18.99,18.360001,18.99,18.168959,84000
2014/11/5,18.83,18.860001,18.690001,18.809999,17.996742,43300
2014/11/6,18.84,18.99,18.700001,18.77,17.958471,77800
2014/11/7,19.200001,19.450001,19.18,19.450001,18.609072,59800
2014/11/10,20.73,20.99,20.73,20.84,19.938974,95200
2014/11/11,20.74,20.799999,20.549999,20.73,19.833729,79000
2014/11/12,20.98,21.129999,20.98,21.059999,20.149462,58900
2014/11/13,21.5,21.68,21.440001,21.620001,20.685251,99600
2014/11/14,21.389999,21.43,21.15,21.35,20.426924,67800
2014/11/17,19.709999,19.84,19,19.6,18.752584,78900
2014/11/18,19.459999,19.540001,19.389999,19.52,18.676044,62500
2014/11/19,19.68,19.77,19.6,19.76,18.905668,20600
2014/11/20,19.59,19.639999,19.469999,19.469999,18.628206,33700
2014/11/21,20.059999,20.280001,20.049999,20.23,19.355349,46400
2014/11/24,20.91,20.91,20.200001,20.77,19.872002,114300
2014/11/25,20.9,20.93,20.6,20.690001,19.795458,97700
2014/11/26,21.129999,21.299999,20.969999,21.299999,20.379086,59400
2014/11/28,22.360001,22.6,22.34,22.530001,21.555906,73900
2014/12/1,22.9,23,22.67,22.709999,21.728123,84200
2014/12/2,23.309999,23.4,23.209999,23.379999,22.369156,75100
2014/12/3,23.18,23.379999,22.99,23.26,22.254345,59800
2014/12/4,23.299999,23.450001,23.26,23.41,22.397858,60200
2014/12/5,22.360001,22.6,22.33,22.48,21.508068,55900
2014/12/8,23.110001,23.440001,23.030001,23.34,22.330887,155400
2014/12/9,23.35,23.35,23.01,23.16,22.158667,69000
2014/12/10,23.549999,23.83,23.450001,23.700001,22.67532,144600
2014/12/11,24.799999,25.17,24.42,25.17,24.081762,123500
2014/12/12,24.26,24.389999,24,24.360001,23.306784,107400
2014/12/15,23.99,24.030001,23.459999,24.02,22.981485,110000
2014/12/16,24.85,25.15,24.780001,24.9,23.823437,86300
2014/12/17,24.07,24.620001,24.049999,24.530001,23.469435,115800
2014/12/18,24.48,24.709999,24.35,24.709999,23.641651,66600
2014/12/19,24.280001,24.559999,24.25,24.360001,23.306784,71800
2014/12/22,23.24,23.629999,23.200001,23.610001,22.589212,92300
2014/12/23,23.85,23.860001,23.66,23.66,22.637049,43800
2014/12/24,23.34,23.469999,23.24,23.469999,22.455263,32000
2014/12/26,23.469999,24.24,23.469999,24.24,23.191973,34100
2014/12/29,23.950001,23.950001,23.6,23.709999,22.684887,62000
2014/12/30,23.35,23.41,23.25,23.290001,22.283049,53900
2014/12/31,23.790001,24.059999,23.790001,23.9,22.866673,47800
2015/1/2,23.42,23.469999,23.1,23.34,22.330887,80200
2015/1/5,24.540001,25.25,24.450001,25.24,24.148739,99700
2015/1/6,26,26.18,25.73,26.18,25.048096,114400
2015/1/7,27.08,27.129999,26.83,26.84,25.679562,97200
2015/1/8,26.84,27.110001,26.84,27,25.832644,45800
2015/1/9,26.780001,26.790001,26.559999,26.709999,25.55518,27800
2015/1/12,26.49,26.49,25.91,26.18,25.048096,99700
2015/1/13,26.09,26.09,25.469999,25.5,24.397497,128700
2015/1/14,25.74,26.5,25.74,26.32,25.182043,61200
2015/1/15,25.940001,25.959999,25.51,25.82,24.703661,59200
2015/1/16,25.57,25.57,25.1,25.120001,24.033926,60500
2015/1/20,25.290001,25.6,25.290001,25.540001,24.435768,60700
2015/1/21,26.379999,26.5,26.299999,26.379999,25.239449,64000
2015/1/22,26.540001,27.040001,26.450001,27.02,25.851778,48500
2015/1/23,26.92,27.08,26.889999,27.08,25.909184,31500
2015/1/26,27.42,27.76,27.389999,27.76,26.559786,153300
2015/1/27,26.15,26.200001,25.74,25.879999,24.761066,183400
2015/1/28,25.959999,25.959999,25.620001,25.639999,24.531443,91200
2015/1/29,26.209999,26.4,26.09,26.23,25.095934,51100
2015/1/30,26.969999,27.1,26.5,26.5,25.354261,111000
2015/2/2,26.23,26.23,25.700001,25.790001,24.674961,69100
2015/2/3,24.48,24.709999,24.030001,24.09,23.04846,123000
2015/2/4,24.790001,25.91,24.76,25.799999,24.684526,89000
2015/2/5,25.27,25.5,25.17,25.209999,24.120033,45200
2015/2/6,24.07,24.07,23.77,23.969999,22.933645,95300
2015/2/9,23.629999,23.889999,23.51,23.68,22.656185,145800
2015/2/10,23.84,23.98,23.43,23.9,22.866673,43800
2015/2/11,23.92,24.049999,23.75,24.01,22.971916,48500
2015/2/12,24.110001,24.110001,23.969999,23.99,22.952782,30000
2015/2/13,23.66,23.66,23.42,23.42,22.407427,31000
2015/2/17,23.9,24.33,23.9,24.15,23.105865,62600
2015/2/18,24.209999,24.32,24.200001,24.309999,23.258945,22100
2015/2/19,24.299999,24.48,24.280001,24.379999,23.32592,53400
2015/2/20,24.43,24.51,24.360001,24.51,23.450298,40900
2015/2/23,24.33,24.41,24.030001,24.23,23.182405,73000
2015/2/24,24.549999,24.700001,24.549999,24.66,23.593815,23700
2015/2/25,24.530001,24.530001,24.16,24.299999,23.249378,51100
2015/2/26,25.1,25.32,25.1,25.32,24.225279,41000
2015/2/27,25,25,24.860001,24.93,23.852142,24200
2015/3/2,24.73,24.940001,24.719999,24.85,23.7756,30600
2015/3/3,24.200001,24.27,24.049999,24.110001,23.067595,35000
2015/3/4,23.549999,23.6,23.450001,23.48,22.46483,36500
2015/3/5,22.85,22.879999,22.49,22.52,21.546339,59900
2015/3/6,23.17,23.18,22.860001,22.879999,21.890772,23200
2015/3/9,23.290001,23.33,23.15,23.23,22.225639,28900
2015/3/10,23.75,23.76,23.6,23.6,22.579643,35200
2015/3/11,24.969999,24.969999,24.610001,24.67,23.603382,46100
2015/3/12,24.99,25.23,24.969999,25.18,24.091331,46600
2015/3/13,26.6,26.950001,26.49,26.950001,25.784807,102800
2015/3/16,27.389999,27.639999,27.34,27.540001,26.349297,64300
2015/3/17,29.790001,30.5,29.559999,30.389999,29.076075,149400
2015/3/18,29.75,29.75,29.129999,29.23,27.966228,85600
2015/3/19,29.280001,29.379999,29.18,29.290001,28.023634,24000
